ID,region,ownd,kids,inc,sex,wlth,hv,incmed,incavg,low,npro,gifdol,gifl,gifr,mdon,lag,gifa,Predicted_Donor,Predicted_Donation_Amount
3,ter3,1,1,5,1,8,303,61,90,6,64,86,15,10,22,8,17.37,0,2.41
4,ter5,1,1,4,0,8,317,121,121,0,51,56,18,7,14,7,9.59,1,9.99290157429832
9,ter3,1,2,3,1,5,194,112,112,0,75,160,28,34,14,4,14.0,0,3.68
16,ter1,0,2,3,1,8,127,24,33,15,39,72,5,4,15,9,5.24,0,0.12
20,ter3,0,2,4,0,3,137,21,40,17,95,186,32,35,23,28,11.7,0,0.43
22,ter3,1,0,3,0,9,340,85,117,1,22,41,28,25,21,4,15.13,1,15.88037023523303
23,ter4,1,1,4,1,9,197,64,72,2,56,85,15,8,17,10,10.44,0,4.741111111111111
27,ter5,1,1,3,0,8,138,26,32,32,110,252,20,13,15,14,15.86,0,2.49
28,ter2,1,3,1,1,9,80,41,41,22,20,45,13,8,16,4,6.63,0,0.53
29,ter4,0,2,7,1,8,171,44,55,10,81,101,44,41,15,6,15.24,0,0.0
31,ter2,0,3,1,1,8,130,55,63,4,13,24,16,22,14,6,11.24,0,0.09
36,ter4,1,2,4,0,8,138,44,67,10,86,145,4,3,19,9,5.17,0,3.46
37,ter2,1,2,4,1,4,183,27,47,20,75,90,9,15,22,7,7.69,1,10.045636876062407
41,ter1,1,0,2,0,6,124,29,30,18,49,68,19,17,25,8,10.4,1,8.514596306471306
47,ter1,1,3,7,0,8,162,37,37,24,30,85,19,22,23,10,10.66,0,0.14
49,ter1,0,0,6,1,7,145,29,42,9,11,48,13,6,20,5,9.04,0,1.48
50,ter3,1,2,4,1,3,119,24,45,3,30,49,39,24,24,3,10.11,0,0.13
63,ter2,1,4,5,1,8,104,20,35,28,84,83,48,43,16,6,15.81,0,6.624038461538462
64,ter2,1,1,4,0,4,135,22,41,16,88,346,16,9,15,7,12.79,1,10.890450663906222
72,ter1,1,0,4,0,8,160,62,62,1,51,75,5,6,17,11,3.92,1,12.879500079496115
74,ter2,1,2,7,1,0,189,24,51,13,17,52,17,17,17,6,6.3,0,0.29
77,ter2,1,2,2,1,3,124,31,32,15,42,105,6,7,21,3,4.45,0,1.28
78,ter3,1,2,4,1,8,123,19,26,36,87,114,50,26,13,4,18.16,0,8.10510721699352
80,ter5,1,3,4,0,6,106,20,36,32,42,61,33,23,24,6,13.41,0,2.2402777777777776
82,ter5,1,4,6,0,9,130,47,47,12,63,116,22,19,16,5,21.21,0,0.7
85,ter2,1,1,3,0,8,145,24,58,16,26,55,19,19,23,3,13.45,1,9.796184187767954
86,ter5,1,0,1,1,6,134,27,42,28,13,42,42,17,19,6,28.42,0,5.06
94,ter1,1,5,7,1,6,186,48,51,10,29,61,21,27,16,5,14.98,0,0.45
102,ter4,1,3,4,1,8,130,39,43,10,65,98,8,5,23,8,8.47,0,1.29
103,ter2,1,4,3,1,9,177,171,171,0,26,61,5,4,23,8,4.86,1,8.353639226270804
104,ter3,1,3,4,0,8,215,40,54,2,86,109,14,7,16,3,9.83,0,8.08132919034579
105,ter5,1,0,4,1,6,173,26,53,24,47,86,86,41,38,8,21.67,1,14.765935867450716
107,ter5,1,2,2,1,8,152,25,38,23,46,62,17,9,21,12,7.73,0,0.0
111,ter3,1,2,2,0,1,166,65,65,3,22,44,14,12,27,5,10.37,0,0.0
123,ter1,1,1,4,0,3,161,25,43,18,83,106,39,15,17,29,13.28,0,1.12
125,ter4,1,2,3,0,7,419,82,105,0,5,43,6,7,9,8,3.77,0,2.62
132,ter2,1,4,4,0,0,217,41,68,1,50,79,18,15,19,11,10.81,0,2.39
141,ter2,1,2,3,0,8,140,27,36,14,36,56,10,17,20,11,7.73,0,4.925125010594118
144,ter5,1,3,2,0,9,134,33,45,24,45,71,11,13,17,5,5.57,0,0.13
145,ter2,0,3,5,0,1,91,13,28,64,82,140,21,29,16,15,22.09,0,0.0
146,ter4,1,1,6,0,8,113,35,35,21,53,62,19,22,20,5,8.8,0,0.82
150,ter1,0,2,5,1,9,153,34,34,16,88,182,18,21,17,8,12.43,0,0.61
156,ter2,1,2,1,1,8,268,83,103,6,62,217,217,65,14,9,37.99,1,4.12
158,ter2,1,0,2,1,0,202,76,76,11,128,213,13,6,18,11,8.78,0,4.94
160,ter5,1,3,4,0,8,168,40,54,7,14,36,6,6,13,4,4.17,0,2.83
166,ter5,1,2,5,0,4,229,63,76,4,40,77,8,7,16,4,7.87,0,0.76
171,ter5,1,1,3,1,4,169,24,42,8,24,53,9,8,23,3,6.93,0,0.14
174,ter2,1,2,1,0,8,123,26,35,13,40,73,23,32,17,5,11.62,0,0.89
176,ter1,1,2,6,1,9,132,26,44,25,89,136,18,19,14,4,14.2,0,0.0
178,ter5,1,2,2,1,8,114,26,38,21,93,141,60,30,18,6,17.19,0,0.14
181,ter4,0,0,4,0,9,195,30,62,5,33,49,15,8,23,4,8.59,0,1.95
183,ter4,1,2,2,0,9,259,56,60,3,23,51,13,11,17,5,8.42,0,0.12
185,ter4,0,1,4,0,5,176,59,59,6,85,177,9,6,20,6,9.26,0,1.4
186,ter5,1,4,4,1,8,236,56,84,6,25,46,5,8,19,5,4.22,0,4.51
195,ter5,1,3,1,0,8,150,36,36,28,100,317,12,10,22,7,7.2,0,0.16
196,ter5,0,4,4,1,8,146,27,44,21,44,48,33,17,20,4,15.38,0,0.13
210,ter2,1,3,3,0,8,179,35,56,17,70,98,3,1,23,6,5.37,1,9.059410076233217
211,ter5,1,0,4,1,9,192,53,68,4,79,134,8,5,24,9,4.08,1,13.297333701589238
214,ter2,1,1,1,1,8,237,43,66,5,15,32,12,21,17,4,7.99,0,4.01
216,ter4,1,1,2,1,6,110,39,39,22,62,113,5,4,14,4,7.25,0,0.54
217,ter1,1,0,5,0,7,145,30,37,16,70,93,6,4,13,14,5.71,1,12.950058508340767
224,ter1,1,0,4,1,9,179,31,50,12,104,179,8,4,16,10,4.15,1,13.04907492792455
229,ter1,1,2,1,0,8,77,14,23,55,63,114,12,8,19,9,7.88,0,0.0
239,ter4,1,2,2,0,0,207,40,48,2,68,107,30,17,18,8,18.62,0,0.18
250,ter3,1,2,7,1,1,193,31,47,11,58,70,15,15,18,12,10.72,0,0.0
253,ter3,1,2,1,0,3,167,39,42,22,26,69,31,19,21,2,17.76,0,0.13
259,ter5,1,4,3,1,9,196,46,75,7,16,42,9,7,19,6,5.48,0,0.26
263,ter3,1,2,4,0,5,191,79,79,5,67,122,12,8,21,6,7.8,0,3.4522320302445304
264,ter2,1,2,7,1,8,146,45,56,2,86,148,12,8,10,3,8.69,0,9.74
267,ter5,0,2,3,0,9,130,19,35,35,25,56,9,6,20,7,7.51,0,0.0
269,ter4,1,0,5,1,8,185,34,56,8,41,81,26,50,19,6,12.45,1,16.600208978328173
272,ter3,0,4,3,1,8,125,23,31,24,112,136,15,15,20,4,8.03,0,0.14
273,ter3,1,0,4,1,2,275,41,57,4,50,86,26,22,24,7,17.06,1,13.694255319148935
275,ter3,1,0,4,1,8,206,38,41,17,49,83,35,37,17,7,19.4,1,16.60233136905413
276,ter4,1,3,2,1,9,102,23,29,22,55,82,12,4,16,4,7.8,0,0.3
277,ter1,1,3,6,0,9,171,40,50,5,49,77,48,28,15,12,15.94,0,0.43
279,ter5,1,3,1,1,8,146,26,31,17,51,89,42,23,20,12,10.56,0,0.0
284,ter5,1,0,3,1,3,132,43,55,20,13,44,44,25,21,3,19.84,0,9.785757575757577
288,ter5,0,1,1,0,6,143,32,32,25,79,112,14,12,17,9,12.82,0,0.32
290,ter3,1,1,4,1,8,163,28,64,18,31,53,28,12,14,8,9.48,0,2.56
300,ter2,1,2,6,1,9,209,38,77,1,78,119,25,32,17,11,16.9,0,3.58
